OID,pointid,Lat,Long,CH4-Flaming-30,CH4-Smoldering-30,CO2-Flaming-30,CO2-Smoldering-30,CO-Flaming-30,CO-Smoldering-30,FireDay-30,Fire-Intensity-30,Fire-spread-probability-30,Flaming-Consumption-30,HEAT-30,Ignition Type-30,N2O-Flaming-30,N2O-Smoldering-30,NH3-Flaming-30,NH3-Smoldering-30,NMOC-Flaming-30,NMOC-Smoldering-30,NOX-Flaming-30,NOX-Smoldering-30,PM2.5-Flaming-30,PM10-Smoldering-30,PM10-Flaming-30,PM2.5-Smoldering-30,Smolder Consumption-30,SO2-Flaming-30,SO2-Smoldering-30,Special Dead wood
-1,34268,39.25914420160602,-120.00615545401894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34269,39.25917410116184,-120.00499796771862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34270,39.25920398923237,-120.00384047969622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34271,39.25923386581753,-120.00268298995239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34303,39.26018385196956,-119.9656424131719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34304,39.2602133495094,-119.96448486699019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34305,39.26024283556217,-119.96332731910945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34306,39.26027231012781,-119.96216976953032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34307,39.26030177320626,-119.96101221825346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34308,39.26033122479748,-119.95985466527958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
